outcome_id,subject_id,outcome_description,cognitive_level,evidence_type
LO-0203,SUB-068,Analiza principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0204,SUB-068,Diseña principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0205,SUB-069,Aplica principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0206,SUB-069,Analiza principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0207,SUB-069,Diseña principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0208,SUB-070,Aplica principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0209,SUB-070,Analiza principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0210,SUB-070,Diseña principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0211,SUB-071,Aplica principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0212,SUB-071,Analiza principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0213,SUB-071,Diseña principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0214,SUB-072,Aplica principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0215,SUB-072,Analiza principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0216,SUB-072,Diseña principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0217,SUB-073,Aplica principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0218,SUB-073,Analiza principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0219,SUB-073,Diseña principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0220,SUB-074,Aplica principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0221,SUB-074,Analiza principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0222,SUB-074,Diseña principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0223,SUB-075,Aplica principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0224,SUB-075,Analiza principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0225,SUB-075,Diseña principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0226,SUB-076,Aplica principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0227,SUB-076,Analiza principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0228,SUB-076,Diseña principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0229,SUB-077,Aplica principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0230,SUB-077,Analiza principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0231,SUB-077,Diseña principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0232,SUB-078,Aplica principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0233,SUB-078,Analiza principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0234,SUB-078,Diseña principios y herramientas de evaluación del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0235,SUB-079,Aplica principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0236,SUB-079,Analiza principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0237,SUB-079,Diseña principios y herramientas de tecnología educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0238,SUB-080,Aplica principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0239,SUB-080,Analiza principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0240,SUB-080,Diseña principios y herramientas de diseño curricular para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0241,SUB-081,Aplica principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0242,SUB-081,Analiza principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0243,SUB-081,Diseña principios y herramientas de investigación educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0244,SUB-082,Aplica principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0245,SUB-082,Analiza principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0246,SUB-082,Diseña principios y herramientas de psicología del aprendizaje para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0247,SUB-083,Aplica principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0248,SUB-083,Analiza principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0249,SUB-083,Diseña principios y herramientas de analítica educativa para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0250,SUB-084,Aplica principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0251,SUB-084,Analiza principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0252,SUB-084,Diseña principios y herramientas de lenguaje y conocimiento para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0253,SUB-085,Aplica principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0254,SUB-085,Analiza principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0255,SUB-085,Diseña principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0256,SUB-086,Aplica principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0257,SUB-086,Analiza principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0258,SUB-086,Diseña principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0259,SUB-087,Aplica principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0260,SUB-087,Analiza principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0261,SUB-087,Diseña principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0262,SUB-088,Aplica principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0263,SUB-088,Analiza principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0264,SUB-088,Diseña principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0265,SUB-089,Aplica principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0266,SUB-089,Analiza principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0267,SUB-089,Diseña principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0268,SUB-090,Aplica principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0269,SUB-090,Analiza principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0270,SUB-090,Diseña principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0271,SUB-091,Aplica principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0272,SUB-091,Analiza principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0273,SUB-091,Diseña principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0274,SUB-092,Aplica principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0275,SUB-092,Analiza principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0276,SUB-092,Diseña principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0277,SUB-093,Aplica principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0278,SUB-093,Analiza principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0279,SUB-093,Diseña principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0280,SUB-094,Aplica principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0281,SUB-094,Analiza principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0282,SUB-094,Diseña principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0283,SUB-095,Aplica principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0284,SUB-095,Analiza principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0285,SUB-095,Diseña principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0286,SUB-096,Aplica principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0287,SUB-096,Analiza principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0288,SUB-096,Diseña principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0289,SUB-097,Aplica principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0290,SUB-097,Analiza principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0291,SUB-097,Diseña principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0292,SUB-098,Aplica principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0293,SUB-098,Analiza principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0294,SUB-098,Diseña principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0295,SUB-099,Aplica principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0296,SUB-099,Analiza principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0297,SUB-099,Diseña principios y herramientas de gestión de recursos hídricos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0298,SUB-100,Aplica principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0299,SUB-100,Analiza principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0300,SUB-100,Diseña principios y herramientas de monitoreo ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0301,SUB-101,Aplica principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0302,SUB-101,Analiza principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0303,SUB-101,Diseña principios y herramientas de cambio climático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0304,SUB-102,Aplica principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0305,SUB-102,Analiza principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0306,SUB-102,Diseña principios y herramientas de sistemas territoriales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0307,SUB-103,Aplica principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0308,SUB-103,Analiza principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0309,SUB-103,Diseña principios y herramientas de infraestructura sostenible para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0310,SUB-104,Aplica principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0311,SUB-104,Analiza principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0312,SUB-104,Diseña principios y herramientas de gestión del riesgo para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0313,SUB-105,Aplica principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0314,SUB-105,Analiza principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0315,SUB-105,Diseña principios y herramientas de modelamiento ambiental para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0316,SUB-106,Aplica principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0317,SUB-106,Analiza principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0318,SUB-106,Diseña principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0319,SUB-107,Aplica principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0320,SUB-107,Analiza principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0321,SUB-107,Diseña principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0322,SUB-108,Aplica principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0323,SUB-108,Analiza principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0324,SUB-108,Diseña principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0325,SUB-109,Aplica principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0326,SUB-109,Analiza principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0327,SUB-109,Diseña principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0328,SUB-110,Aplica principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0329,SUB-110,Analiza principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0330,SUB-110,Diseña principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0331,SUB-111,Aplica principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0332,SUB-111,Analiza principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0333,SUB-111,Diseña principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0334,SUB-112,Aplica principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0335,SUB-112,Analiza principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0336,SUB-112,Diseña principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0337,SUB-113,Aplica principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0338,SUB-113,Analiza principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0339,SUB-113,Diseña principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0340,SUB-114,Aplica principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0341,SUB-114,Analiza principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0342,SUB-114,Diseña principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0343,SUB-115,Aplica principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0344,SUB-115,Analiza principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0345,SUB-115,Diseña principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0346,SUB-116,Aplica principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0347,SUB-116,Analiza principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0348,SUB-116,Diseña principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0349,SUB-117,Aplica principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0350,SUB-117,Analiza principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0351,SUB-117,Diseña principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0352,SUB-118,Aplica principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0353,SUB-118,Analiza principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0354,SUB-118,Diseña principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0355,SUB-119,Aplica principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0356,SUB-119,Analiza principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0357,SUB-119,Diseña principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0358,SUB-120,Aplica principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0359,SUB-120,Analiza principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0360,SUB-120,Diseña principios y herramientas de modelamiento matemático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0361,SUB-121,Aplica principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0362,SUB-121,Analiza principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0363,SUB-121,Diseña principios y herramientas de estadística aplicada para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0364,SUB-122,Aplica principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0365,SUB-122,Analiza principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0366,SUB-122,Diseña principios y herramientas de ciencia de datos para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0367,SUB-123,Aplica principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0368,SUB-123,Analiza principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0369,SUB-123,Diseña principios y herramientas de procesamiento de señales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0370,SUB-124,Aplica principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0371,SUB-124,Analiza principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0372,SUB-124,Diseña principios y herramientas de series temporales para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0373,SUB-125,Aplica principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0374,SUB-125,Analiza principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0375,SUB-125,Diseña principios y herramientas de aprendizaje automático para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
LO-0376,SUB-126,Aplica principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Apply,estudio de caso
LO-0377,SUB-126,Analiza principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Analyze,prototipo
LO-0378,SUB-126,Diseña principios y herramientas de procesamiento de lenguaje natural para interpretar información y construir respuestas verificables en un contexto aplicado.,Create,proyecto aplicado
