researcher_id,project_id,role
INV-123,PRJ-290,CO_INVESTIGATOR
INV-136,PRJ-291,PI
INV-148,PRJ-291,CO_INVESTIGATOR
INV-131,PRJ-291,CO_INVESTIGATOR
INV-170,PRJ-292,PI
INV-175,PRJ-292,CO_INVESTIGATOR
INV-035,PRJ-293,PI
INV-029,PRJ-293,CO_INVESTIGATOR
INV-044,PRJ-294,PI
INV-073,PRJ-294,CO_INVESTIGATOR
INV-068,PRJ-294,CO_INVESTIGATOR
INV-098,PRJ-295,PI
INV-074,PRJ-295,CO_INVESTIGATOR
INV-107,PRJ-296,PI
INV-106,PRJ-296,CO_INVESTIGATOR
INV-145,PRJ-297,PI
INV-153,PRJ-297,CO_INVESTIGATOR
INV-152,PRJ-297,CO_INVESTIGATOR
INV-165,PRJ-298,PI
INV-175,PRJ-298,CO_INVESTIGATOR
INV-009,PRJ-299,PI
INV-010,PRJ-299,CO_INVESTIGATOR
INV-049,PRJ-300,PI
INV-051,PRJ-300,CO_INVESTIGATOR
INV-048,PRJ-300,CO_INVESTIGATOR
INV-079,PRJ-301,PI
INV-081,PRJ-301,CO_INVESTIGATOR
INV-100,PRJ-302,PI
INV-117,PRJ-302,CO_INVESTIGATOR
INV-144,PRJ-303,PI
INV-131,PRJ-303,CO_INVESTIGATOR
INV-139,PRJ-303,CO_INVESTIGATOR
INV-160,PRJ-304,PI
INV-169,PRJ-304,CO_INVESTIGATOR
INV-040,PRJ-305,PI
INV-027,PRJ-305,CO_INVESTIGATOR
INV-066,PRJ-306,PI
INV-058,PRJ-306,CO_INVESTIGATOR
INV-045,PRJ-306,CO_INVESTIGATOR
INV-081,PRJ-307,PI
INV-097,PRJ-307,CO_INVESTIGATOR
INV-122,PRJ-308,PI
INV-100,PRJ-308,CO_INVESTIGATOR
INV-131,PRJ-309,PI
INV-145,PRJ-309,CO_INVESTIGATOR
INV-151,PRJ-309,CO_INVESTIGATOR
INV-156,PRJ-310,PI
INV-167,PRJ-310,CO_INVESTIGATOR
INV-029,PRJ-311,PI
INV-013,PRJ-311,CO_INVESTIGATOR
INV-048,PRJ-312,PI
INV-073,PRJ-312,CO_INVESTIGATOR
INV-053,PRJ-312,CO_INVESTIGATOR
INV-084,PRJ-313,PI
INV-091,PRJ-313,CO_INVESTIGATOR
INV-119,PRJ-314,PI
INV-106,PRJ-314,CO_INVESTIGATOR
INV-132,PRJ-315,PI
INV-136,PRJ-315,CO_INVESTIGATOR
INV-131,PRJ-315,CO_INVESTIGATOR
INV-160,PRJ-316,PI
INV-171,PRJ-316,CO_INVESTIGATOR
INV-011,PRJ-317,PI
INV-034,PRJ-317,CO_INVESTIGATOR
INV-065,PRJ-318,PI
INV-052,PRJ-318,CO_INVESTIGATOR
INV-066,PRJ-318,CO_INVESTIGATOR
INV-099,PRJ-319,PI
INV-081,PRJ-319,CO_INVESTIGATOR
INV-109,PRJ-320,PI
INV-121,PRJ-320,CO_INVESTIGATOR
